"TimeOfCollision","x","y","z","other"
65740111,0.440578043,1.01536441,-0.699376762,s_model_finger_2_link_3
65740492,0.457648426,1.02154183,-0.68280375,s_model_finger_2_link_3
65740704,0.4528094,1.02423668,-0.6823543,s_model_palm
65745160,0.5423391,1.02134335,-0.699900866,s_model_finger_1_link_3
65745841,0.5527289,1.02147889,-0.6908819,s_model_finger_middle_link_3
65745981,0.5535512,1.02131951,-0.6906457,s_model_finger_middle_link_3
65746399,0.5601374,1.021576,-0.6906109,s_model_finger_2_link_3
65746578,0.5631414,1.02131033,-0.691991031,s_model_finger_middle_link_3
65752621,0.85901624,0.966263056,-0.5629756,s_model_palm
65755670,0.9711449,0.867057264,-0.647182167,s_model_finger_middle_link_1
